task: search
CPU cores = 2
process threads, max number of = 8
elements per task = 20
samples, number of per test = 4

t = time, execution (ms)
sl = serial
pl = parallel
s = speedup
e = efficiency

The data is formatted to CSV standard.

threads,elements,average_t.sl,average_t.pl,stdev_t.sl,stdev_t.pl,average_s,stdev_s,average_e,stdev_e

2,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
2,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
2,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
2,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
2,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
3,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
3,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
3,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
3,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
3,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
4,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
4,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
4,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
4,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
4,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
5,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
5,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
5,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
5,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
5,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
6,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
6,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
6,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
6,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
6,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
7,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
7,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
7,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
7,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
7,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
8,100,0.000725,0.481175,0.000147902,0.693359,0.0407947,0.044514,0.0203974,0.022257
8,1000,0.0011,0.027475,0.000291548,0.0182346,0.0701597,0.04678,0.0350798,0.02339
8,10000,0.0053,1.1314,0.00207485,1.09312,0.0292299,0.0351875,0.014615,0.0175938
8,100000,0.0162,0.92935,0.010886,0.083699,0.0179352,0.0123701,0.00896759,0.00618504
8,1000000,0.0529,10.3128,0.0431542,3.46486,0.00608588,0.004669,0.00304294,0.0023345
