task: sort
CPU cores = 2
process threads, max number of = 8
elements per task = 20
samples, number of per test = 4

t = time, execution (ms)
sl = serial
pl = parallel
s = speedup
e = efficiency

The data is formatted to CSV standard.

threads,elements,average_t.sl,average_t.pl,stdev_t.sl,stdev_t.pl,average_s,stdev_s,average_e,stdev_e

2,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
2,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
2,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
2,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
2,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
3,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
3,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
3,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
3,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
3,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
4,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
4,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
4,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
4,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
4,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
5,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
5,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
5,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
5,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
5,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
6,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
6,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
6,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
6,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
6,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
7,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
7,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
7,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
7,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
7,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
8,100,0.004075,0.0077,0.000426468,0.00725913,1.17994,0.821021,0.58997,0.41051
8,1000,0.050525,0.0054,0.00326525,0.00548908,17.476,8.16029,8.73798,4.08014
8,10000,0.727925,0.6638,0.072712,0.703285,107.935,131.194,53.9677,65.5971
8,100000,8.9484,0.0121,1.82407,0.016573,2786.88,1525.15,1393.44,762.577
8,1000000,79.5299,0.159625,0.878669,0.271571,21337.7,12646.6,10668.9,6323.31
